,stop_id,total,number_of_times,average_on_time_performance_seconds,stop_code,stop_name,stop_lat,stop_lon
0,902700,2408,28,86,902700,ROSWELL RD NE @ HILDERBRAND DR,33.922703,-84.379218
1,902751,2940,22,133.6363636,902751,ROSWELL RD NE @ HAMMOND DR NE,33.918641,-84.379085
2,902699,7669,41,187.0487805,902699,ROSWELL RD NE @ LAKE PLACID DR NE,33.909002,-84.378784
3,905744,2352,12,196,905744,ROSWELL RD NE @ MARYEANNA DR,33.900208,-84.380478
4,905746,3678,26,141.4615385,905746,ROSWELL RD NE@MYSTIC PL NE,33.883138,-84.380128
5,905928,5728,29,197.5172414,905928,PIEDMONT RD NE @ HABERSHAM RD NE,33.853317,-84.381663
6,905526,6120,26,235.3846154,905526,PIEDMONT RD NE @ PEACHTREE RD NE,33.844399,-84.371807
7,900481,2002,13,154,900481,PIEDMONT RD NE @ E PACES FERRY RD NE,33.839531,-84.369377
8,900482,3549,24,147.875,900482,PIEDMONT RD NE @ PHARR RD NE,33.837061,-84.368146
9,902145,39360,57,690.5263158,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823072,-84.36995
10,900480,-1339,11,-121.7272727,900480,PIEDMONT RD NE @ BURKE RD NE,33.835906,-84.367927
11,901702,-1704,24,-71,901702,PIEDMONT RD NE @ PEACHTREE DR NE,33.837499,-84.368222
12,905429,780,34,22.94117647,905429,PIEDMONT RD NE @ PEACHTREE RD NE,33.844583,-84.371608
13,905289,1866,30,62.2,905289,PIEDMONT RD NE @ TOWER PLACE DR,33.846081,-84.372483
14,905528,1770,15,118,905528,ROSWELL RD NE @ SHELDON DR NE,33.860558,-84.380416
15,905577,952,24,39.66666667,905577,ROSWELL RD NE @ MIDVALE DR NE,33.872971,-84.38097
16,905627,6646,23,288.9565217,905627,ROSWELL RD NE @ WINDSOR PKWY NE,33.879245,-84.379733
17,905629,1739,29,59.96551724,905629,ROSWELL RD NE@MYSTIC PL NE,33.88297,-84.37994
18,905871,136,19,7.157894737,905871,ROSWELL RD NE @ LONG ISLAND DR NE,33.887039,-84.381622
19,905991,-225,15,-15,905991,ROSWELL RD NE@GREEN HILL RD NE,33.90044,-84.38
20,906362,2496,24,104,906362,MT VERNON HWY@BOYLSTON DR,33.924369,-84.377367
21,906334,2119,22,96.31818182,906334,ROSWELL RD NE @ SANDY SPRINGS PL,33.920108,-84.379042
22,902698,5574,27,206.4444444,902698,ROSWELL RD NE @ 5531,33.907231,-84.378718
23,905863,5580,20,279,905863,ROSWELL RD NE @ LONG ISLAND DR NE,33.887263,-84.381677
24,901756,270,24,11.25,901756,PIEDMONT RD NE @ SIDNEY MARCUS BLVD NE,33.825981,-84.367215
25,905408,996,4,249,905408,PIEDMONT RD NE @ 3500,33.849614,-84.377089
26,905988,1456,32,45.5,905988,ROSWELL RD NE @ BELLE ISLE RD NE,33.890188,-84.381275
27,902697,-446,1,-446,902697,ROSWELL RD NE @ 5491,33.905396,-84.378695
28,906292,5448,22,247.6363636,906292,ROSWELL RD NE @ ALLEN RD NE,33.914017,-84.379242
29,900479,-20,1,-20,900479,PIEDMONT RD NE @ ELLIOTT CIR NE,33.833553,-84.367959
30,901704,-999,16,-62.4375,901704,PIEDMONT RD NE @ MARTINA DR NE,33.841804,-84.37039
31,905524,2234,25,89.36,905524,PIEDMONT RD NE @ HABERSHAM RD NE,33.852924,-84.381053
32,905927,2367,23,102.9130435,905927,ROSWELL RD NE @ POWERS FERRY RD NW,33.855554,-84.382579
33,906293,1179,19,62.05263158,906293,ROSWELL RD NE @ CARPENTER DR NE,33.915285,-84.379235
34,906308,1980,24,82.5,906308,ROSWELL RD NE@HAMMOND DR NE,33.918831,-84.378862
35,906333,175,3,58.33333333,906333,JOHNSON FERRY RD@KAYRON DR,33.923119,-84.370666
36,905410,8956,28,319.8571429,905410,PIEDMONT RD NE @ TOWER PLACE DR NE,33.84651,-84.372831
37,901703,-827,19,-43.52631579,901703,PIEDMONT RD NE @ E PACES FERRY RD NE,33.838752,-84.368854
38,906306,-755,26,-29.03846154,906306,ROSWELL RD NE @ 5555,33.907636,-84.378673
39,906290,560,37,15.13513514,906290,ROSWELL RD NE @ LAKE PLACID DR NE,33.909522,-84.378654
40,906307,662,19,34.84210526,906307,ROSWELL RD NE @ 5925,33.917522,-84.379041
41,906309,2262,26,87,906309,ROSWELL RD NE @ SANDY SPRINGS PL NE,33.92001,-84.378944
42,902662,-340,5,-68,902662,JOHNSON FERRY RD@HARLESTON RD,33.92371,-84.37488
43,902747,770,5,154,902747,ROSWELL RD NE@GLENRIDGE DR NE,33.901628,-84.37916
44,905646,1470,15,98,905646,ROSWELL RD NE @ LE BRUN RD NE,33.861167,-84.38045
45,906001,1924,22,87.45454545,906001,ROSWELL RD NE @ IVY PKWY NE,33.857882,-84.381481
46,905760,3363,9,373.6666667,905760,PIEDMONT RD NE @ 3558,33.851152,-84.379376
47,900477,1600,22,72.72727273,900477,PIEDMONT RD NE @ MIAMI CIR NE,33.82701,-84.367019
48,901757,72,2,36,901757,PIEDMONT RD NE @ DARLINGTON RD,33.831619,-84.368001
49,902696,145,5,29,902696,ROSWELL RD NE @ GLENRIDGE DR NE,33.902783,-84.378606
50,906361,2370,15,158,906361,ROSWELL RD NE @ CLIFTWOOD DR NE,33.916242,-84.379236
51,905864,3741,23,162.6521739,905864,ROSWELL RD NE@W BELLE ISLE RD NE,33.890163,-84.381524
52,905578,3517,17,206.8823529,905578,ROSWELL RD NE @ WIEUCA RD NE,33.875271,-84.380612
53,905579,1402,14,100.1428571,905579,ROSWELL RD NE @ DILBECK PL NW,33.877285,-84.379764
54,905523,453,7,64.71428571,905523,PIEDMONT RD NE @ 3565,33.85092,-84.378984
55,901705,2502,10,250.2,901705,PIEDMONT RD NE @ MARTINA DR NE,33.84171,-84.37053
56,903009,47580,49,971.0204082,903009,DUNWOODY STATION,33.920969,-84.344734
57,902704,2625,20,131.25,902704,HAMMOND DR @ PEACHTREE DUNWOODY RD,33.918961,-84.351952
58,902868,840,10,84,902868,HAMMOND DR NE @ BARFIELD RD NE,33.919113,-84.360336
59,905580,2880,15,192,905580,ROSWELL RD NE @ MIDVALE DR NE,33.873007,-84.381089
60,906000,1732,15,115.4666667,906000,ROSWELL RD NE @ IVY PKWY NE,33.857521,-84.381584
61,902816,-42,11,-3.818181818,902816,HAMMOND DR NE @ 1005,33.9189,-84.354671
62,902999,158,5,31.6,902999,HAMMOND DR NE @ 1150,33.918901,-84.349888
63,903199,405,5,81,903199,HAMMOND DR@GLENRIDGE DR,33.919057,-84.363941
64,903158,144,2,72,903158,JOHNSON FERRY RD NE @ ROSWELL RD,33.924741,-84.378245
65,905644,2041,11,185.5454545,905644,ROSWELL RD NE @ RICKENBACKER DR NE,33.870358,-84.381109
66,905529,1321,11,120.0909091,905529,ROSWELL RD NE @ RICKENBACKER DR NE,33.870188,-84.380989
67,906335,570,10,57,906335,ROSWELL RD NE @ 5491,33.905167,-84.378537
68,901755,-252,2,-126,901755,PIEDMONT RD NE @ MIAMI CIR NE,33.828013,-84.367303
69,906294,1378,15,91.86666667,906294,ROSWELL RD NE @ HILDERBRAND DR NE,33.922714,-84.379102
70,903010,-204,11,-18.54545455,903010,HAMMOND DR NE @ BARFIELD RD,33.918943,-84.360434
71,905762,849,3,283,905762,ROSWELL RD NE @ LAKEMOORE DR,33.864746,-84.380757
72,902665,154,1,154,902665,HAMMOND DR NE @ GLENRIDGE DR NE,33.918924,-84.363267
73,211926,-85,1,-85,211926,HAMMOND DR @ 1145,33.918973,-84.348156
74,905409,1128,6,188,905409,PIEDMONT RD NE @ CARSON LN NE,33.848452,-84.374182
75,900478,41,1,41,900478,PIEDMONT RD NE @ ALPINE RD NE,33.829409,-84.367652
76,905412,124,2,62,905412,ROSWELL RD NE @ LAKEMOORE DR NE,33.865024,-84.380746
77,905814,446,2,223,905814,ROSWELL RD NE @ OSNER DR NE,33.895022,-84.381388
78,905413,326,2,163,905413,ROSWELL RD NE @ CHASTAIN DR NE,33.867548,-84.381031
79,905411,494,2,247,905411,ROSWELL RD NE @ LAND O LAKES DR NE,33.862831,-84.380189
80,902746,105,1,105,902746,JOHNSON FERRY RD NE @ GLENRIDGE DR NE,33.922431,-84.367997
81,210802,500,2,250,210802,ROSWELL RD@OSNER DR,33.894978,-84.381269
82,905812,300,2,150,905812,ROSWELL RD NE @ WINDSOR PKWY NE,33.879156,-84.379852
83,906363,-119,1,-119,906363,JOHNSON FERRY RD@KAYRON DR,33.923038,-84.370644
84,905870,267,1,267,905870,ROSWELL RD NE@MYSTIC CT,33.884946,-84.380978
85,906305,192,2,96,906305,ROSWELL RD NE @ GLENRIDGE DR NE,33.902489,-84.378456
